appId,title,developer,score,ratings,reviews,installs,genre,url
org.mindshiftrecovery.app,Mindshift Recovery,Mindshift Recovery,4.7380953,75,2,4035,Health & Fitness,https://play.google.com/store/apps/details?id=org.mindshiftrecovery.app&hl=en&gl=us
com.regaincontrol.app,Addiction Recovery,Paul Resiga,,,,8,Health & Fitness,https://play.google.com/store/apps/details?id=com.regaincontrol.app&hl=en&gl=us
org.smartrecovery.mobile,SMART Recovery,SMART Recovery USA,4.58,230,51,98382,Lifestyle,https://play.google.com/store/apps/details?id=org.smartrecovery.mobile&hl=en&gl=us
bzn.quit.smoking.addiction,Quitvana - Quit Addiction,Verselingo Communications Limited,4.12766,708,18,45180,Health & Fitness,https://play.google.com/store/apps/details?id=bzn.quit.smoking.addiction&hl=en&gl=us
com.recoverypath,Recovery Path - Addiction Help,Recovery Record,4.846966,4433,1726,189713,Medical,https://play.google.com/store/apps/details?id=com.recoverypath&hl=en&gl=us
the.phoenix.android,NewForm: Recovery & Wellbeing,"The Phoenix - Rise, Recover, and Live",4.7432737,8906,680,486956,Lifestyle,https://play.google.com/store/apps/details?id=the.phoenix.android&hl=en&gl=us
fhw.com.myrecovery,myrecovery,Healthcare Outcomes Performance Company Ltd.,4.4455447,1196,95,95382,Health & Fitness,https://play.google.com/store/apps/details?id=fhw.com.myrecovery&hl=en&gl=us
me.gambless.app,Gambling Addiction Recovery,Mindspa Health,4,54,2,18909,Education,https://play.google.com/store/apps/details?id=me.gambless.app&hl=en&gl=us
com.herzberg.easyquitsdrinking,Sobriety Counter - EasyQuit,Easy Health Apps,4.7012525,58356,4244,1474666,Health & Fitness,https://play.google.com/store/apps/details?id=com.herzberg.easyquitsdrinking&hl=en&gl=us
com.msint.quitedrinking,Quit Drinking – Stay Sober,MS International,4.6237626,2743,157,259709,Health & Fitness,https://play.google.com/store/apps/details?id=com.msint.quitedrinking&hl=en&gl=us
com.herzberg.easyquitsdrinkingPro,Sobriety Counter -EasyQuit pro,Easy Health Apps,4.953125,4232,367,28154,Health & Fitness,https://play.google.com/store/apps/details?id=com.herzberg.easyquitsdrinkingPro&hl=en&gl=us
com.despdev.quitzilla,Quitzilla: Quit Habit Tracker,despDev,4.612903,96150,1832,3365734,Lifestyle,https://play.google.com/store/apps/details?id=com.despdev.quitzilla&hl=en&gl=us
app.rebuild.sober.quite.alco,Rebuild: Quit Drinking Alcohol,Must Have Apps.,5,35,1,578,Health & Fitness,https://play.google.com/store/apps/details?id=app.rebuild.sober.quite.alco&hl=en&gl=us
com.teampenguin.sober,Sober: Quit Drinking Hypnosis,Team Penguin Studio,4.2580647,67,3,5296,Health & Fitness,https://play.google.com/store/apps/details?id=com.teampenguin.sober&hl=en&gl=us
com.soberise.Soberise,Soberise: Quit Drinking,Soberise Labs,,,,60,Health & Fitness,https://play.google.com/store/apps/details?id=com.soberise.Soberise&hl=en&gl=us
bzn.quit.drinking.alcohol,Sobelio -Quit drinking alcohol,Verselingo Communications Limited,,,,3157,Health & Fitness,https://play.google.com/store/apps/details?id=bzn.quit.drinking.alcohol&hl=en&gl=us
uk.org.alcoholconcern.dryjanuary,Try Dry: Dry January® & beyond,Alcohol Change UK,4.7211537,4258,107,485072,Health & Fitness,https://play.google.com/store/apps/details?id=uk.org.alcoholconcern.dryjanuary&hl=en&gl=us
com.subsplashconsulting.s_5CQ8WX,FREE Recovery Community,Free Spiritual Community,5,7,5,1395,Lifestyle,https://play.google.com/store/apps/details?id=com.subsplashconsulting.s_5CQ8WX&hl=en&gl=us
com.devgurus.cleanrecovery.file,Clean Recovery,Cerkimot Enboopea,3.8846154,79,13,38913,Tools,https://play.google.com/store/apps/details?id=com.devgurus.cleanrecovery.file&hl=en&gl=us
com.mightybell.recovery20,Recovery 2.0,Mighty Networks,,,,1183,Health & Fitness,https://play.google.com/store/apps/details?id=com.mightybell.recovery20&hl=en&gl=us
com.dararecovery.app,Dara Recovery: Addiction,SalTech+,,,,7,Health & Fitness,https://play.google.com/store/apps/details?id=com.dararecovery.app&hl=en&gl=us
app.emergent.vybesrecovery26a695dbf,Recovery Companion: Stay Sober,Vybeanderson,,,,1620,Tools,https://play.google.com/store/apps/details?id=app.emergent.vybesrecovery26a695dbf&hl=en&gl=us
com.mightybell.birthrecoverycenter,Birth Recovery Center,Mighty Networks,4.75,538,300,33216,Health & Fitness,https://play.google.com/store/apps/details?id=com.mightybell.birthrecoverycenter&hl=en&gl=us
