time,open,high,low,close
1735887600,6263.25,6276,6258.5,6263.5
1735902000,6263.75,6300.25,6257,6284.75
1735916400,6284.75,6323.75,6268.25,6318.25
1735930800,6318.25,6331,6315,6320
1736118000,6327.25,6330.25,6315,6320
1736132400,6320.25,6330.25,6317.75,6329
1736146800,6329,6355.5,6327,6349.25
1736161200,6349,6387.5,6341.75,6383.75
1736175600,6383.5,6402.5,6358.75,6360.5
1736190000,6360.5,6362.75,6337.75,6362.5
1736204400,6362.5,6366.25,6350.75,6351.5
1736218800,6351.5,6355.25,6341,6345.75
1736233200,6345.75,6363,6345.5,6362.25
1736247600,6362,6379.75,6355.25,6367
1736262000,6365.75,6365.75,6297,6311.25
1736276400,6311.25,6317.5,6269.25,6289.25
1736290800,6289.25,6304.25,6282.5,6301
1736305200,6301,6306.75,6296,6298.5
1736319600,6298.5,6309.25,6291,6308.5
1736334000,6308.5,6309,6260.75,6274
1736348400,6274,6299.5,6251.25,6278.5
1736362800,6278.5,6306,6271,6289.25
1736377200,6289,6291,6274.25,6286
1736391600,6286.25,6286.5,6275,6282.75
1736406000,6282.75,6291.5,6263.5,6288
1736420400,6288,6289,6270.25,6278.5
1736463600,6278,6279.5,6254.75,6273
1736478000,6273,6283,6271.5,6272.75
1736492400,6272.5,6285.25,6268.75,6281.5
1736506800,6281.5,6293.75,6218,6224.5
1736521200,6224.5,6241.5,6179.25,6240.5
1736535600,6240.75,6241.25,6192.25,6195.5
1736722800,6198.75,6202.25,6172.75,6177.75
1736737200,6177.75,6183.25,6165.25,6178
1736751600,6177.75,6180.75,6143.25,6151.75
1736766000,6151.5,6177.5,6145.75,6172.75
1736780400,6172.5,6198,6150.5,6195.25
1736794800,6195.25,6217.5,6184.5,6216.25
1736809200,6220.75,6235.5,6217.25,6224.25
1736823600,6224,6231.75,6220.5,6227
1736838000,6227,6247.75,6222.25,6239.75
1736852400,6239.75,6253,6208.75,6216.25
1736866800,6216.5,6240.25,6176.5,6229.25
1736881200,6229.25,6233,6183,6225.5
1736895600,6226,6226,6217.25,6218
1736910000,6218.25,6220.25,6215.25,6219.5
1736924400,6219.25,6227.25,6213.75,6226.25
1736938800,6226.5,6317.25,6225.75,6315
1736953200,6315.25,6326,6290,6321
1736967600,6321.25,6335.5,6319.25,6321.75
1736982000,6323.25,6336.25,6320.5,6325.5
1736996400,6325.5,6335,6317.25,6331.5
1737010800,6331.25,6351.75,6329.25,6341.5
1737025200,6341.5,6343.25,6314.5,6316
1737039600,6316,6338.25,6303.25,6307.75
1737054000,6307.75,6328,6296.25,6303.5
1737068400,6305.25,6319.75,6302.25,6313.25
1737082800,6313.5,6323.75,6311.25,6319
1737097200,6319.25,6333.25,6311.5,6329
1737111600,6329.25,6369.5,6324.25,6354.75
1737126000,6354.75,6386,6352.25,6378
1737140400,6378,6379.75,6363.25,6366.75
1737327600,6366.75,6373,6354.5,6361.5
1737342000,6361.5,6371,6359.75,6369.5
1737356400,6369.5,6377.75,6366,6371.75
1737370800,6371.75,6412.25,6353,6402
1737385200,6401.75,6402,6370.25,6388.75
1737414000,6394.25,6404.75,6328.75,6373.5
1737428400,6373.5,6385,6370.25,6373.5
1737442800,6373.75,6402,6370.25,6390.5
1737457200,6390.5,6406.25,6379.5,6397
1737471600,6397,6420.75,6377.75,6417.75
1737486000,6418,6427.5,6408.5,6426.5
1737500400,6427.25,6436.75,6421.25,6434.5
1737514800,6434.5,6439.25,6433,6433.5
1737529200,6433.5,6449,6432.25,6446
1737543600,6446,6457,6442.75,6456.5
1737558000,6456.5,6469.75,6451,6461.75
1737572400,6461.5,6467.5,6449.25,6454.25
1737586800,6454.75,6455,6444,6448.25
